email,full_name,role,password
parent@gmail.com,Содном Эрдэм,parent,123456
parent_01a01@school.mn,Цогтгэрэл Сод,parent,123456
parent_01a02@school.mn,Гэрэлмаа Уянга,parent,123456
parent_01a03@school.mn,Даваажав Оюун,parent,123456
parent_01a04@school.mn,Эрдэнэчимэг Тэмүүлэл,parent,123456
parent_01a05@school.mn,Энэрэл Эрдэм,parent,123456
parent_01a06@school.mn,Түмэнжаргал Нандин,parent,123456
parent_01a07@school.mn,Нарангэрэл Бат,parent,123456
parent_01a08@school.mn,Цогтгэрэл Түмэн,parent,123456
parent_01a09@school.mn,Мөнх-Оргил Ирээдүй,parent,123456
parent_01a10@school.mn,Цэрэннадмид Номун,parent,123456
parent_01a11@school.mn,Жаргалсайхан Мандах,parent,123456
parent_01a12@school.mn,Батцэцэг Хонгор,parent,123456
parent_01a13@school.mn,Алтансүх Энх,parent,123456
parent_01a14@school.mn,Жаргалсайхан Хөгжил,parent,123456
parent_01a15@school.mn,Пүрэвдорж Тэмүү,parent,123456
parent_01a16@school.mn,Түмэнжаргал Шинэ,parent,123456
parent_01a17@school.mn,Төгөлдөр Отгон,parent,123456
parent_01a18@school.mn,Оюун-Эрдэнэ Ирээдүй,parent,123456
parent_01a19@school.mn,Марал Дөл,parent,123456
parent_01a20@school.mn,Шинэцэцэг Наран,parent,123456
parent_01a21@school.mn,Гэрэлмаа Хөгжил,parent,123456
parent_01a22@school.mn,Эрдэнэчимэг Тэмүү,parent,123456
parent_01a23@school.mn,Саруул Шинэ,parent,123456
parent_01a24@school.mn,Сүхбат Мандах,parent,123456
parent_01a25@school.mn,Тэмүүлэн Мөнгөн,parent,123456
parent_01b01@school.mn,Төгөлдөр Цэцэг,parent,123456
parent_01b02@school.mn,Гантулга Уянга,parent,123456
parent_01b03@school.mn,Очирбат Цолмон,parent,123456
parent_01b04@school.mn,Нямдорж Бат,parent,123456
parent_01b05@school.mn,Мөнх-Оргил Уянга,parent,123456
parent_01b06@school.mn,Сүхбат Эрдэм,parent,123456
parent_01b07@school.mn,Марал Чимэг,parent,123456
parent_01b08@school.mn,Батцэцэг Сод,parent,123456
parent_01b09@school.mn,Эрдэнэсайхан Оюун,parent,123456
parent_01b10@school.mn,Сүхбат Номун,parent,123456
parent_01b11@school.mn,Сүхбат Мөнгөн,parent,123456
parent_01b12@school.mn,Уянга Итгэл,parent,123456
parent_01b13@school.mn,Содном Ирээдүй,parent,123456
parent_01b14@school.mn,Тэмүүлэн Хас,parent,123456
parent_01b15@school.mn,Гэрэлтуяа Мөнгөн,parent,123456
parent_01b16@school.mn,Оюун-Эрдэнэ Баяр,parent,123456
parent_01b17@school.mn,Амин-Эрдэнэ Сод,parent,123456
parent_01b18@school.mn,Идэрбат Илч,parent,123456
parent_01b19@school.mn,Урангоо Очир,parent,123456
parent_01b20@school.mn,Жавхлан Хонгор,parent,123456
parent_01b21@school.mn,Энх-Амгалан Отгон,parent,123456
parent_01b22@school.mn,Даваажав Чимэг,parent,123456
parent_01b23@school.mn,Урангоо Ирээдүй,parent,123456
parent_01b24@school.mn,Баярсайхан Наран,parent,123456
parent_01b25@school.mn,Амаржаргал Дөл,parent,123456
parent_01c01@school.mn,Сарнай Шинэ,parent,123456
parent_01c02@school.mn,Лхагвадорж Саруул,parent,123456
parent_01c03@school.mn,Батзориг Сод,parent,123456
parent_01c04@school.mn,Энхжин Жаргал,parent,123456
parent_01c05@school.mn,Урангоо Оргил,parent,123456
parent_01c06@school.mn,Шинэцэцэг Очир,parent,123456
parent_01c07@school.mn,Лхагвадорж Хөгжил,parent,123456
parent_01c08@school.mn,Бат-Эрдэнэ Чимэг,parent,123456
parent_01c09@school.mn,Болормаа Итгэл,parent,123456
parent_01c10@school.mn,Энхтүвшин Оргил,parent,123456
parent_01c11@school.mn,Тэнүүн Туяа,parent,123456
parent_01c12@school.mn,Жаргалсайхан Тэмүүлэл,parent,123456
parent_01c13@school.mn,Амаржаргал Итгэл,parent,123456
parent_01c14@school.mn,Ганзориг Хишиг,parent,123456
parent_01c15@school.mn,Хулан Тэмүү,parent,123456
parent_01c16@school.mn,Нямдорж Уянга,parent,123456
parent_01c17@school.mn,Тэнүүн Мөнгөн,parent,123456
parent_01c18@school.mn,Наранчимэг Баяр,parent,123456
parent_01c19@school.mn,Алтансүх Хонгор,parent,123456
parent_01c20@school.mn,Ганчимэг Цэцэг,parent,123456
parent_01c21@school.mn,Эрдэнэчимэг Уянга,parent,123456
parent_01c22@school.mn,Наранчимэг Шинэ,parent,123456
parent_01c23@school.mn,Энхжин Тайван,parent,123456
parent_01c24@school.mn,Баярсайхан Энх,parent,123456
parent_01c25@school.mn,Номин Мөнх,parent,123456
parent_02a01@school.mn,Билгүүн Хишиг,parent,123456
parent_02a02@school.mn,Гантулга Илч,parent,123456
parent_02a03@school.mn,Алтансүх Ухаан,parent,123456
parent_02a04@school.mn,Нандин Тэнгэр,parent,123456
parent_02a05@school.mn,Төгөлдөр Зам,parent,123456
parent_02a06@school.mn,Энэрэл Илч,parent,123456
parent_02a07@school.mn,Тэмүүлэн Баяр,parent,123456
parent_02a08@school.mn,Баярмаа Төгс,parent,123456
parent_02a09@school.mn,Одонтуяа Цэцэг,parent,123456
parent_02a10@school.mn,Батцэцэг Тэнгэр,parent,123456
