email,full_name,role,password
st01a01@school.mn,Пүрэвдорж Сод,student,123456
st01a02@school.mn,Гантулга Ухаан,student,123456
st01a03@school.mn,Тэмүүлэн Түмэн,student,123456
st01a04@school.mn,Лхагвадорж Түмэн,student,123456
st01a05@school.mn,Болормаа Бат,student,123456
st01a06@school.mn,Болормаа Алтан,student,123456
st01a07@school.mn,Батцэцэг Дөл,student,123456
st01a08@school.mn,Эрдэнэбат Хүч,student,123456
st01a09@school.mn,Энхжин Амар,student,123456
st01a10@school.mn,Төгөлдөр Тэнгэр,student,123456
st01a11@school.mn,Цэрэннадмид Шинэ,student,123456
st01a12@school.mn,Солонго Дөл,student,123456
st01a13@school.mn,Хулан Түмэн,student,123456
st01a14@school.mn,Хүслэн Мөнгөн,student,123456
st01a15@school.mn,Тэмүүлэн Цолмон,student,123456
st01a16@school.mn,Содном Уянга,student,123456
st01a17@school.mn,Номин Итгэл,student,123456
st01a18@school.mn,Отгонжаргал Хишиг,student,123456
st01a19@school.mn,Солонго Тэмүү,student,123456
st01a20@school.mn,Мөнх-Оргил Мандах,student,123456
st01a21@school.mn,Энх-Амгалан Оюун,student,123456
st01a22@school.mn,Шинэцэцэг Ирээдүй,student,123456
st01a23@school.mn,Амин-Эрдэнэ Тэнгэр,student,123456
st01a24@school.mn,Жаргалсайхан Зориг,student,123456
st01a25@school.mn,Энхбат Жаргал,student,123456
st01b01@school.mn,Цогтгэрэл Хүч,student,123456
st01b02@school.mn,Энхтүвшин Сүх,student,123456
st01b03@school.mn,Хулан Чимэг,student,123456
st01b04@school.mn,Анударь Эрдэнэ,student,123456
st01b05@school.mn,Нандин Оюун,student,123456
st01b06@school.mn,Тунгалаг Хас,student,123456
st01b07@school.mn,Эрдэнэчимэг Шинэ,student,123456
st01b08@school.mn,Нарангэрэл Ухаан,student,123456
st01b09@school.mn,Шинэцэцэг Хөгжил,student,123456
st01b10@school.mn,Уянга Оргил,student,123456
st01b11@school.mn,Идэрбат Очир,student,123456
st01b12@school.mn,Төгөлдөр Уянга,student,123456
st01b13@school.mn,Хүслэн Тэмүү,student,123456
st01b14@school.mn,Анударь Номун,student,123456
st01b15@school.mn,Уянга Хонгор,student,123456
st01b16@school.mn,Ганзориг Хонгор,student,123456
st01b17@school.mn,Оюун-Эрдэнэ Туяа,student,123456
st01b18@school.mn,Дөлгөөн Наран,student,123456
st01b19@school.mn,Одонтуяа Тайван,student,123456
st01b20@school.mn,Батцэцэг Түмэн,student,123456
st01b21@school.mn,Очирбат Саруул,student,123456
st01b22@school.mn,Мишээл Хонгор,student,123456
st01b23@school.mn,Энх-Амгалан Сар,student,123456
st01b24@school.mn,Даваажав Тэмүү,student,123456
st01b25@school.mn,Содном Мөнх,student,123456
st01c01@school.mn,Саруул Түмэн,student,123456
st01c02@school.mn,Отгонбаяр Сүх,student,123456
st01c03@school.mn,Идэрбат Шинэ,student,123456
st01c04@school.mn,Анударь Эрдэм,student,123456
st01c05@school.mn,Отгонбаяр Мөнх,student,123456
st01c06@school.mn,Эрдэнэсайхан Хүч,student,123456
st01c07@school.mn,Энх-Амгалан Төгс,student,123456
st01c08@school.mn,Саруул Тайван,student,123456
st01c09@school.mn,Удвал Уянга,student,123456
st01c10@school.mn,Уянга Амар,student,123456
st01c11@school.mn,Шинэцэцэг Хонгор,student,123456
st01c12@school.mn,Дөлгөөн Ухаан,student,123456
st01c13@school.mn,Саруул Тэмүүлэл,student,123456
st01c14@school.mn,Батзориг Хишиг,student,123456
st01c15@school.mn,Ганчимэг Зам,student,123456
st01c16@school.mn,Амаржаргал Нандин,student,123456
st01c17@school.mn,Пүрэвдорж Ган,student,123456
st01c18@school.mn,Тэнүүн Сар,student,123456
st01c19@school.mn,Анударь Хүч,student,123456
st01c20@school.mn,Жавхлан Тэмүүлэл,student,123456
st01c21@school.mn,Нямдорж Эрдэнэ,student,123456
st01c22@school.mn,Мөнгөнцэцэг Мөнгөн,student,123456
st01c23@school.mn,Болормаа Тэмүү,student,123456
st01c24@school.mn,Идэрбат Тэмүү,student,123456
st01c25@school.mn,Хүслэн Бат,student,123456
st02a01@school.mn,Солонго Ухаан,student,123456
st02a02@school.mn,Шинэцэцэг Итгэл,student,123456
st02a03@school.mn,Жавхлан Баяр,student,123456
